TravelDistance(km);TravelSpeed(m/s);TotalDistance(km);FlightTime;CONV:TakeOffMass(kg);CONV:NeededFuel(l);CONV:Costs(Euro);SERI:TakeOffMass(kg);SERI:NeededFuel(l);SERI:NeededElectricity(Wh);SERI:Costs(Euro);SERI:HybDeg;PARA:TakeOffMass(kg);PARA:NeededFuel(l);PARA:NeededElectricity(Wh);PARA:Costs(Euro);PARA:HybDeg
20.0;50.0;39.49064096135343;0:15:50;749.1962223549946;2.687798030958523;13.612329228025814;807.546669837;0.0;8521.92803972;6.4738843170915725;1.0;811.090953238;0.0;8559.04425806;6.502080530753682;1.0
20.0;55.0;39.45389974731449;0:15:13;749.4028486559291;2.914327802921131;14.773332023380025;807.828054809;0.0;9141.66344088;6.951148175030972;1.0;811.329343731;0.0;9179.34733217;6.979802294039244;1.0
20.0;60.0;39.46964598190261;0:14:43;749.6847761778861;3.2234398882718174;16.33376640748088;808.355874736;0.0;9791.32773552;7.442170426364703;1.0;811.754489503;0.0;9825.47562195;7.468125475299514;1.0
20.0;65.0;39.44340225758908;0:14:17;750.0387321637745;3.6044154707024063;18.27639232114619;810.424239306;0.0;10462.3601615;7.957498260298018;1.0;813.145373344;0.0;10487.2648549;7.976440358576476;1.0
20.0;70.0;39.43815351272637;0:13:55;756.615171459925;3.841068550058935;19.478947201822994;813.472617941;0.0;11323.2292359;8.61340724198415;1.0;816.156336611;0.0;11346.785675;8.6313262648099;1.0
20.0;75.0;39.43815351272637;0:13:36;769.8085132971714;3.915903073108287;19.858450380262642;825.713116672;0.0;12244.0321353;9.313847919894844;1.0;825.74008402;0.0;12254.7809886;9.322024408149952;1.0
40.0;20.0;60.48562041217552;0:42:30;750.1277642649972;3.708296278563163;12.261745033921144;817.057407306;0.0;12375.3801575;6.138011021380985;1.0;820.089586769;0.0;12483.1631574;6.191469843080516;1.0
40.0;25.0;60.485620412175514;0:35:50;749.6569847874757;3.1924906200611076;10.556196987998398;809.424397466;0.0;10162.4167962;5.040412941265465;1.0;812.17586925;0.0;10221.7653706;5.069848982755445;1.0
40.0;30.0;60.475122922450105;0:31:23;749.5343539711274;3.0580171328427546;10.11330605070182;808.21932289;0.0;9662.23401151;4.793161325476083;1.0;811.656590808;0.0;9718.15863102;4.820903949289373;1.0
40.0;35.0;60.454127942999285;0:28:12;749.5690924376358;3.0962353997138052;10.243255523041105;808.345105208;0.0;9786.52070752;4.856502462535297;1.0;811.75505289;0.0;9834.03906506;4.880083163716599;1.0
