TravelDistance(km);TravelSpeed(m/s);TotalDistance(km);FlightTime;CONV:TakeOffMass(kg);CONV:NeededFuel(l);CONV:Costs(Euro);SERI:TakeOffMass(kg);SERI:NeededFuel(l);SERI:NeededElectricity(Wh);SERI:Costs(Euro);SERI:HybDeg;PARA:TakeOffMass(kg);PARA:NeededFuel(l);PARA:NeededElectricity(Wh);PARA:Costs(Euro);PARA:HybDeg
100.0;30.0;123.46006127491637;1:04:43;751.0796247297575;4.739437334380757;34.83749592002177;831.079894615;0.0;16891.681563;13.681899545948076;1.0;834.535304508;0.0;16980.8792045;13.754147721251814;1.0
100.0;35.0;123.4653100197791;0:56:47;751.1523441150397;4.81870181070705;35.418628054439736;831.637116784;0.0;17081.4403604;13.835011921699756;1.0;834.981787354;0.0;17158.1081626;13.897108556120969;1.0
100.0;40.0;123.47055876464178;0:50:50;751.4196172588183;5.109894662848092;37.55736956997237;834.89623806;0.0;18238.5025404;14.771539647087883;1.0;838.327291094;0.0;18309.748678;14.829242583166602;1.0
100.0;45.0;123.46006127491637;0:46:12;751.7785055375921;5.500935732365785;40.4349319575156;839.977904382;0.0;20136.1836292;16.309876587831493;1.0;843.578960988;0.0;20204.8599274;16.36550291548014;1.0
100.0;50.0;123.47055876464178;0:42:30;752.4078928779521;6.186224771848932;45.468320842009376;849.478583476;0.0;22506.7921909;18.228468726542495;1.0;851.741172961;0.0;22529.1106624;18.246544672519658;1.0
100.0;55.0;123.46006127491637;0:39:28;753.2791812694619;7.134235462086205;52.44059183987002;862.221616094;0.0;25374.3992921;20.552718855045125;1.0;864.745906829;0.0;25423.8875191;20.592803256825718;1.0
100.0;60.0;123.42856880574014;0:36:56;754.5577076022668;8.520806398037925;62.64863865017775;876.749083654;0.0;28653.9515878;23.215007566763123;1.0;879.416800967;0.0;28706.1085151;23.257264337464314;1.0
100.0;65.0;123.43906629546555;0:34:48;756.2055927945308;10.310385408284068;75.79994760833267;892.719637433;0.0;32269.1610887;26.14177347344808;1.0;895.622033364;0.0;32325.5972377;26.187493317816404;1.0
100.0;70.0;123.42856880574014;0:32:58;762.8841599601041;12.159950582783495;89.40519411874459;900.033653362;2.5697501359851835;29653.4274561;42.91867794686925;0.8547669732514064;900.030325053;1.4299403170354406;32969.4334843;37.22488424354141;0.920332842212285
100.0;75.0;123.44431504032826;0:31:23;777.0938002123673;13.585499027540058;99.87369903154203;900.022462257;6.222027946236419;24760.0445454;65.79885686186518;0.6287044384024123;900.027345311;2.8496507117806686;33058.9950189;47.72967893180096;0.8323078298349895
150.0;20.0;175.958007391697;2:14:10;754.6870255885942;8.670551252082078;44.71819940395494;873.669953769;5.058237459928478;24644.6039606;40.093718924882474;0.9325304236163693;783.748397633;7.429068439008006;2672.81850105;39.834285250240384;0.5780863399682411
