Zeit [m.ss];Höhe;CAS;R
0.0;0.0;40.0;
4.1;1000.0;40.0;
4.1;1000.0;45.0;
226.23;1000.0;45.0;
226.23;1000.0;27.0;
231.23;0.0;27.0;
