Zeit [m.ss];Höhe;CAS;R
0.00;0.00;vFmin;
8.20;2000.00;vFmin;
8.20;2000.00;vEmax;
700.00;2000.00;vEmax;
700.00;2000.00;27;
710.00;0.00;27;
