Zeit [m.ss];Höhe;CAS;R
0.00;0.00;30;
8.00;1500.00;30;
8.00;1500.00;63;
37.00;1500.00;63;
37.00;1500.00;vdHmin;500
337.00;1500.00;vdHmin;500
337.00;1500.00;63;
367.00;1500.00;63;
367.00;1500.00;27;
375.00;0.00;27;
