Zeit [m.ss];Höhe;CAS;R
0.0;0.0;40.0;
4.1;1000.0;40.0;
4.1;1000.0;40.0;
254.1;1000.0;40.0;
254.1;1000.0;27.0;
259.1;0.0;27.0;
