Zeit [m.ss];Höhe;CAS;R
0;0;70;
5;1000;70;
5;1000;vEmax;
10;1000;vEmax;
10;1000;50;
15;1000;50;
15;1000;50;500
20;1000;50;500
20;1000;50;
25;2000;50;
25;2000;50;
31;0;50;
31;0;0;
31.5;0;0;
