Zeit [m.ss];Höhe;CAS;R
0;0;27;
4;600;27;
4;600;40;
6;600;40;
6;600;27;
8;0;27;
8;0;0;
8.5;0;0;
8.5;0;27;
12.5;600;27;
12.5;600;40;
14.5;600;40;
14.5;600;27;
16.5;0;27;
16.5;0;0;
17;0;0;
17;0;27;
21;600;27;
21;600;40;
23;600;40;
23;600;27;
25;0;27;
25;0;0;
25.5;0;0;
25.5;0;27;
29.5;600;27;
29.5;600;40;
31.5;600;40;
31.5;600;27;
33.5;0;27;
33.5;0;0;
34;0;0;
