Zeit [m.ss];Höhe;CAS;R
0.0;0.0;40.0;
4.0;1000.0;40.0;
4.0;1000.0;35.0;
289.42;1000.0;35.0;
289.42;1000.0;27.0;
294.42;0.0;27.0;
