Motor;P[kW];m[kg]
Rotax 914;84;71.7
-Rotax 912UL;59.6;62
-Rotax 912ULS;73.5;46
-Rotax 915;100;84
-L275E;15;7.2
-L550E;37;16
-L1700EA;44;69
-L2000EA;59;74
-L2400;96;86
-SOLO2350;19.6;16.8
-SOLO2350D;22;23.5
-SOLO2489;30;30
-SOLO2625;39;23
-O-235;93.2;114.3
-O-320;119.3;125.6
