Zeit [m.ss];Höhe;CAS;R
0;0;70;
5;1000;70;
5;1000;30;
20;1000;30;
20;1000;40;
40;1000;40;
40;1000;50;
60;1000;50;
60;1000;60;
80;1000;60;
80;1000;70;
100;1000;70;
100;1000;50;
105;0;50;
