Zeit [m.ss];Höhe;CAS;R
0;0;27;
4;800;27;
4.01;800;40;
6;800;40;
6.01;800;27;
8;0;27;
8.01;0;0;
8.3;0;0;
8.31;0;27;
12.3;800;27;
12.31;800;40;
14.3;800;40;
14.31;800;27;
16.3;0;27;
16.31;0;0;
17;0;0;
17.01;0;27;
21;800;27;
21.01;800;40;
23;800;40;
23.01;800;27;
25;0;27;
25.01;0;0;
25.3;0;0;
