TravelDistance(km);TravelSpeed(m/s);TotalDistance(km);FlightTime;CONV:TakeOffMass(kg);CONV:NeededFuel(l);CONV:Costs(Euro);SERI:TakeOffMass(kg);SERI:NeededFuel(l);SERI:NeededElectricity(Wh);SERI:Costs(Euro);SERI:HybDeg;PARA:TakeOffMass(kg);PARA:NeededFuel(l);PARA:NeededElectricity(Wh);PARA:Costs(Euro);PARA:HybDeg
0.0;20.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;25.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;30.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;35.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;40.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;45.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;50.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;55.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;60.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;65.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;70.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
0.0;75.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;83.17113996720876;841.358481345;0.0;5390.55022788;29.14494420656784;1.0;846.873906416;0.0;5443.36999168;29.43052341534566;1.0
50.0;20.0;70.98311013758656;0:50:50;750.5886198487207;4.213237679914225;53.86511223741878;841.358481345;0.0;14978.7227025;21.101812351511143;1.0;846.873906416;0.0;15219.3454354;21.440798248907864;1.0
50.0;25.0;70.98311013758656;0:42:30;749.9992317655095;3.5674492075953217;45.60888005072736;841.358481345;0.0;12034.1945192;16.95360275969047;1.0;846.873906416;0.0;12173.2625734;17.1495198643798;1.0
50.0;30.0;70.96211515813575;0:36:56;749.8409284741274;3.3940105511730203;43.40435129823478;841.358481345;0.0;11258.0954272;15.864937794077676;1.0;846.873906416;0.0;11360.196473;16.00881885733583;1.0
50.0;35.0;70.96211515813575;0:32:58;749.8805762360685;3.437528439368483;43.960880418729225;841.358481345;0.0;11326.8538854;15.961832394875263;1.0;846.873906416;0.0;11414.7780895;16.085735415387074;1.0
50.0;40.0;70.98311013758656;0:30:00;750.0233162545941;3.5938297724806034;45.94614848806392;841.358481345;0.0;11865.3178604;16.715691715115685;1.0;846.873906416;0.0;11948.613309;16.83303716312233;1.0
50.0;45.0;70.97786139272387;0:27:41;750.2291874276207;3.812125292902389;48.74060214589053;841.358481345;0.0;12806.3713912;18.04276874494956;1.0;846.873906416;0.0;12881.4838522;18.148593941040488;1.0
50.0;50.0;70.98311013758656;0:25:50;750.5601085495844;4.172855013152912;53.348830687978946;841.358481345;0.0;13894.7731402;19.574759563602896;1.0;846.873906416;0.0;13952.658002;19.656306936897472;1.0
50.0;55.0;70.97786139272387;0:24:19;751.0302418212704;4.684933020260814;59.900039709037074;841.358481345;0.0;15255.302699;21.493043604951254;1.0;846.873906416;0.0;15320.3922714;21.58474765340075;1.0
50.0;60.0;70.96211515813575;0:23:03;751.7374049300334;5.455106884904429;69.76271052545137;841.358481345;0.0;16889.4075783;23.800597742418965;1.0;846.873906416;0.0;16954.2043026;23.891909457346856;1.0
50.0;65.0;70.96736390299844;0:21:59;752.6137356265042;6.406476162441777;81.923250317746;841.358481345;0.0;18540.0559289;26.12476342539851;1.0;846.873906416;0.0;18596.4172452;26.204182066870153;1.0
50.0;70.0;70.96211515813575;0:21:04;759.1413343031096;7.19347218736084;91.99381945538757;841.302452349;0.0;20584.0260655;29.007063867289553;1.0;846.777937375;0.0;20623.7474185;29.063039302789875;1.0
50.0;75.0;70.93062268895952;0:20:16;772.552019311979;7.5572442902490975;96.68883386904972;844.145933044;0.0;22700.056302;32.00318204105278;1.0;846.874960971;0.0;22723.26290949955;32.03589937331322;1.0
100.0;20.0;123.47055876464178;1:32:30;752.9220616241896;6.746798676489561;49.58849996447605;841.358481345;0.0;24566.8951456;19.896966039028904;1.0;846.873906416;0.0;24995.3208233;20.24395213999623;1.0
100.0;25.0;123.47055876464178;1:15:50;751.7263610121801;5.44399536826495;40.01298646520121;841.358481345;0.0;18677.8387985;15.127362332670327;1.0;846.873906416;0.0;18903.1551367;15.309848214693016;1.0
100.0;30.0;123.46006127491637;1:04:43;751.4056429460876;5.094502121263152;37.44741924881603;841.358481345;0.0;17125.6406063;13.871401349919346;1.0;846.873906416;0.0;17277.0229464;13.994017796514903;1.0
100.0;35.0;123.4653100197791;0:56:47;751.4832646150111;5.178932259267185;38.066409297737565;841.358481345;0.0;17263.1575414;13.982192681194782;1.0;846.873906416;0.0;17386.1861857;14.081839006369272;1.0
100.0;40.0;123.47055876464178;0:50:50;751.7693292573742;5.4905698509537615;40.35530566633695;841.358481345;0.0;18340.08549;14.853812660684294;1.0;846.873906416;0.0;18453.8566177;14.94595699763256;1.0
100.0;45.0;123.46006127491637;0:46:12;752.1534008880625;5.908833582837208;43.43320763857606;841.358481345;0.0;20155.9798638;16.325911113001474;1.0;846.873906416;0.0;20253.1859788;16.40464597996671;1.0
100.0;50.0;123.47055876464178;0:42:30;752.8254281799042;6.639885548283473;48.80269592489144;841.358481345;0.0;22398.996048;18.141163587585865;1.0;846.958216009;0.0;22463.3696307;18.193300374965848;1.0
100.0;55.0;123.46006127491637;0:39:28;753.7553213641701;7.648216647553909;56.21863893457616;841.358481345;0.0;25120.05517;20.346705574739328;1.0;846.873906416;0.0;25197.4145508;20.409365012942377;1.0
100.0;60.0;123.42856880574014;0:36:56;755.1129475323501;9.123556211357633;67.08031488915718;841.358481345;0.0;28251.3737691;22.88884497523733;1.0;846.873906416;0.0;28328.0048711;22.950930360121447;1.0
100.0;65.0;123.43906629546555;0:34:48;756.8587351841733;11.018625105377396;81.00678807141388;841.364231504;0.0;31689.6057028;25.672266206994223;1.0;846.873906416;0.0;31749.4644984;25.7207587931717;1.0
100.0;70.0;123.42856880574014;0:32:58;763.3124165010989;12.728677404188147;93.58671866706067;841.314463314;0.0;35566.9603242;28.815824949066357;1.0;846.792408969;0.0;35594.2365334;28.8379237301378;1.0
100.0;75.0;123.44431504032826;0:31:23;777.1474761436581;13.65659659241131;100.39637227169555;844.145933044;0.0;39989.1947502;32.394521154850956;1.0;846.874960971;0.0;40003.1464186;32.405823148300755;1.0
150.0;20.0;175.958007391697;2:14:10;755.2654524608895;9.297986458756137;47.95418427612495;841.358481345;0.0;34155.0675887;19.410919738746536;1.0;846.873906416;0.0;34771.2962111;19.761133196795207;1.0
150.0;25.0;175.958007391697;1:49:10;753.4549387160358;7.326584954714387;37.78671937107336;841.358481345;0.0;25321.4830777;14.390639819722608;1.0;846.873906416;0.0;25633.0477001;14.567707420690851;1.0
150.0;30.0;175.958007391697;1:32:30;752.9604757322069;6.788048639827291;35.00922880383759;841.358481345;0.0;22958.0507844;13.04746008704991;1.0;846.873906416;0.0;23158.4193213;13.161333016091422;1.0
